[[ 1.00000000e+00  1.25055521e-12]
 [-7.19069249e-12  1.00000000e+00]
 [-2.92743607e-12  1.00000000e+00]
 [ 6.25277607e-13  1.00000000e+00]
 [-1.70530257e-12  1.00000000e+00]
 [ 1.00000000e+00  3.46744855e-12]
 [ 8.95283847e-13  1.00000000e+00]
 [ 1.00000000e+00  1.13686838e-13]
 [ 1.00000000e+00  1.49213975e-12]
 [ 2.55795385e-12  1.00000000e+00]
 [ 1.00000000e+00  1.02318154e-12]
 [ 1.00000000e+00  1.35003120e-12]
 [-2.14583906e-12  1.00000000e+00]
 [-1.49213975e-12  1.00000000e+00]
 [ 1.00000000e+00  2.16004992e-12]
 [ 1.00000000e+00  2.94164693e-12]
 [-2.84217094e-13  1.00000000e+00]
 [ 1.00000000e+00  2.34479103e-12]
 [ 1.00000000e+00  5.96855898e-13]
 [ 1.00000000e+00  4.34852154e-12]
 [-3.97903932e-13  1.00000000e+00]
 [ 1.00000000e+00 -7.24753590e-13]
 [-5.58486590e-12  1.00000000e+00]
 [-3.18323146e-12  1.00000000e+00]
 [-2.60058641e-12  1.00000000e+00]
 [-2.44426701e-12  1.00000000e+00]
 [-9.37916411e-13  1.00000000e+00]
 [ 1.64845915e-12  1.00000000e+00]
 [ 1.00000000e+00  2.78532752e-12]
 [-1.73372428e-12  1.00000000e+00]
 [ 1.00000000e+00  3.41060513e-12]
 [-2.38742359e-12  1.00000000e+00]
 [-3.16902060e-12  1.00000000e+00]
 [-1.42108547e-12  1.00000000e+00]
 [-1.77635684e-12  1.00000000e+00]
 [-1.19371180e-12  1.00000000e+00]
 [ 1.00000000e+00  1.71951342e-12]
 [ 1.00000000e+00  1.36424205e-12]
 [ 1.00000000e+00  2.04636308e-12]
 [-1.50635060e-12  1.00000000e+00]
 [-6.53699317e-13  1.00000000e+00]
 [-1.70530257e-13  1.00000000e+00]
 [-1.74793513e-12  1.00000000e+00]
 [-8.52651283e-14  1.00000000e+00]
 [-4.83169060e-13  1.00000000e+00]
 [ 1.00000000e+00  1.79056769e-12]
 [-2.30215846e-12  1.00000000e+00]
 [-2.17426077e-12  1.00000000e+00]
 [ 1.00000000e+00  7.67386155e-13]
 [ 1.00000000e+00  1.42108547e-12]
 [ 1.00000000e+00  1.23634436e-12]
 [-2.35900188e-12  1.00000000e+00]
 [ 1.00000000e+00  3.46744855e-12]
 [-2.20268248e-12  1.00000000e+00]
