[[ 1.00000000e+00  2.25863772e-12]
 [ 1.00000000e+00 -2.29594121e-12]
 [ 1.00000000e+00  8.30002733e-13]
 [ 1.00000000e+00  2.36144437e-13]
 [ 1.00000000e+00  1.52988733e-12]
 [ 1.00000000e+00  2.51043630e-12]
 [-1.11033405e-12  1.00000000e+00]
 [-2.94564373e-12  1.00000000e+00]
 [ 5.55222535e-13  1.00000000e+00]
 [-1.69753100e-12  1.00000000e+00]
 [ 1.00000000e+00  2.66731082e-12]
 [ 1.00000000e+00  3.19666515e-12]
 [-2.16549001e-12  1.00000000e+00]
 [-3.71436215e-12  1.00000000e+00]
 [ 1.00000000e+00  4.53737048e-12]
 [ 1.00000000e+00  3.68516329e-12]
 [-2.28705943e-14  1.00000000e+00]
 [ 1.00000000e+00  2.22361018e-12]
 [ 1.00000000e+00  2.23421281e-12]
 [ 1.00000000e+00  2.24442687e-12]
 [-3.20576898e-12  1.00000000e+00]
 [-5.49782442e-13  1.00000000e+00]
 [ 1.00000000e+00  1.27775568e-12]
 [-1.70830017e-12  1.00000000e+00]
 [-1.98985273e-12  1.00000000e+00]
 [ 1.00000000e+00  9.82880444e-13]
 [-1.82487359e-12  1.00000000e+00]
 [ 1.00000000e+00  1.92879046e-12]
 [-1.86950455e-12  1.00000000e+00]
 [-9.64561764e-13  1.00000000e+00]
 [ 1.00000000e+00  3.69426711e-12]
 [ 1.00000000e+00  1.54976032e-12]
 [-2.64410716e-12  1.00000000e+00]
 [-2.47601939e-12  1.00000000e+00]
 [-1.39188661e-12  1.00000000e+00]
 [ 1.00000000e+00  3.58946206e-12]
 [-1.89970262e-12  1.00000000e+00]
 [-1.35047529e-12  1.00000000e+00]
 [-1.68587366e-12  1.00000000e+00]
 [ 1.00000000e+00  2.23587815e-12]
 [ 1.00000000e+00  1.51678670e-12]
 [ 1.00000000e+00  2.95419245e-12]
 [-2.00506278e-12  1.00000000e+00]
 [ 1.00000000e+00  2.19235741e-12]
 [ 1.00000000e+00  8.03468403e-13]
 [ 1.00000000e+00  1.60926827e-12]
 [-1.13697940e-12  1.00000000e+00]
 [-9.77551373e-14  1.00000000e+00]
 [ 1.00000000e+00  2.59448019e-12]
 [-1.99007477e-12  1.00000000e+00]
 [ 1.00000000e+00  1.51512136e-12]
 [-8.59645688e-13  1.00000000e+00]
 [-2.33246755e-12  1.00000000e+00]
 [ 1.00000000e+00  1.42175161e-12]
 [-8.48099369e-13  1.00000000e+00]
 [-1.96997973e-12  1.00000000e+00]
 [ 1.00000000e+00  7.71160913e-13]
 [ 1.00000000e+00  2.04580797e-12]
