[[ 1.00000000e+00 -4.17088586e-12]
 [ 1.00000000e+00  1.32871492e-12]
 [ 1.63336011e-12  1.00000000e+00]
 [ 3.84581256e-13  1.00000000e+00]
 [-2.77999845e-12  1.00000000e+00]
 [ 1.71596071e-12  1.00000000e+00]
 [ 1.00000000e+00 -3.19300142e-12]
 [ 3.51541019e-12  1.00000000e+00]
 [ 1.82875937e-12  1.00000000e+00]
 [ 1.00000000e+00 -1.33937306e-12]
 [ 1.00000000e+00 -3.47544216e-12]
 [-9.12159237e-13  1.00000000e+00]
 [ 1.00000000e+00 -4.01723099e-12]
 [ 1.00000000e+00 -6.25366425e-12]
 [-2.22044605e-14  1.00000000e+00]
 [ 1.00000000e+00 -4.39115411e-12]
 [ 1.96820338e-12  1.00000000e+00]
 [ 3.16902060e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.48530102e-12]
 [ 4.10249612e-12  1.00000000e+00]
 [ 3.73923115e-12  1.00000000e+00]
 [ 3.24718030e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.07318623e-12]
 [ 1.00000000e+00 -6.66311450e-12]
 [ 1.00000000e+00 -4.99422725e-12]
 [ 1.00000000e+00 -6.51745324e-12]
 [ 1.00000000e+00 -4.18065582e-12]
 [ 2.77289303e-12  1.00000000e+00]
 [ 1.00000000e+00 -2.93809421e-12]
 [ 6.03339601e-12  1.00000000e+00]
 [ 1.00000000e+00 -5.46407364e-12]
 [ 2.90878432e-12  1.00000000e+00]
 [ 4.77040629e-12  1.00000000e+00]
 [ 2.14939178e-12  1.00000000e+00]
 [ 2.42650344e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.51638726e-12]
 [ 1.00000000e+00 -5.00577357e-12]
 [ 3.09707815e-12  1.00000000e+00]
 [ 1.00000000e+00 -5.93480820e-12]
 [ 1.00000000e+00 -3.53850282e-12]
 [ 4.62385685e-12  1.00000000e+00]
 [ 3.13438164e-12  1.00000000e+00]
 [ 2.59525734e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.60786964e-12]
 [ 1.00000000e+00 -5.77671244e-12]
 [ 1.00000000e+00 -5.07505149e-12]
 [ 1.00000000e+00 -6.78124223e-12]
 [ 2.44426701e-12  1.00000000e+00]
 [ 3.84403620e-12  1.00000000e+00]
