[[ 1.00000000e+00  1.71520784e-15]
 [ 1.00000000e+00 -3.71230824e-14]
 [ 2.16528184e-14  1.00000000e+00]
 [ 5.05710925e-14  1.00000000e+00]
 [ 2.66436179e-14  1.00000000e+00]
 [ 2.83627288e-14  1.00000000e+00]
 [ 1.00000000e+00  2.09728068e-15]
 [ 4.36456427e-15  1.00000000e+00]
 [ 1.52725055e-14  1.00000000e+00]
 [ 1.00000000e+00  9.29096210e-15]
 [ 1.00000000e+00 -6.38378239e-15]
 [ 1.85207752e-14  1.00000000e+00]
 [ 1.00000000e+00  9.06219544e-15]
 [ 1.00000000e+00  9.55138746e-15]
 [ 7.94503352e-15  1.00000000e+00]
 [ 1.00000000e+00 -3.89532157e-15]
 [ 1.91478777e-14  1.00000000e+00]
 [ 3.27619876e-14  1.00000000e+00]
 [ 1.00000000e+00 -8.99627595e-15]
 [ 1.67999295e-14  1.00000000e+00]
 [ 3.32378439e-14  1.00000000e+00]
 [ 1.53974056e-14  1.00000000e+00]
 [ 1.00000000e+00 -4.43482057e-15]
 [ 1.00000000e+00 -3.90659727e-15]
 [ 1.00000000e+00 -6.53296861e-15]
 [ 1.00000000e+00 -1.27814426e-14]
 [ 1.00000000e+00  6.74113543e-15]
 [ 2.30857000e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.15799297e-14]
 [ 1.41987117e-14  1.00000000e+00]
 [ 1.00000000e+00  3.35495520e-15]
 [ 2.47336873e-14  1.00000000e+00]
 [ 7.45345625e-15  1.00000000e+00]
 [ 2.36415163e-14  1.00000000e+00]
 [ 2.93215972e-14  1.00000000e+00]
 [ 1.00000000e+00  1.52655666e-15]
 [ 1.00000000e+00 -9.93519503e-15]
 [ 1.06720188e-14  1.00000000e+00]
 [ 1.00000000e+00  1.55361835e-14]
 [ 1.00000000e+00 -1.17232613e-14]
 [ 1.87488913e-14  1.00000000e+00]
 [ 1.54286306e-14  1.00000000e+00]
 [ 9.85149462e-15  1.00000000e+00]
 [ 1.00000000e+00 -3.35842465e-15]
 [ 1.00000000e+00  6.64746036e-15]
 [ 1.00000000e+00  1.49533164e-15]
 [ 1.00000000e+00  1.04083409e-15]
 [ 2.63541359e-14  1.00000000e+00]
 [ 2.39873225e-14  1.00000000e+00]
 [ 1.94219640e-14  1.00000000e+00]
 [ 1.00000000e+00 -6.49653942e-15]
 [ 2.84876289e-14  1.00000000e+00]
 [ 1.00000000e+00 -6.63011313e-15]
 [ 1.00000000e+00 -7.44196371e-15]
 [ 1.89709359e-14  1.00000000e+00]
 [ 1.00000000e+00 -5.32516739e-15]
 [ 1.00000000e+00 -3.04270498e-15]
 [ 1.00000000e+00  9.60342916e-15]
 [ 1.62489380e-14  1.00000000e+00]
 [ 1.00000000e+00  7.50267903e-17]
 [ 1.68198788e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.49880108e-15]
 [ 1.00000000e+00  1.06182424e-14]
 [ 1.00000000e+00 -1.63567077e-14]
 [ 1.00000000e+00  7.54778184e-15]
 [ 2.77425652e-14  1.00000000e+00]
 [ 1.00000000e+00  5.58017174e-15]
 [ 1.00000000e+00 -4.77048956e-15]
 [ 2.04528235e-14  1.00000000e+00]
 [ 1.40200351e-14  1.00000000e+00]
 [ 1.00000000e+00  1.46931078e-15]
 [ 1.00000000e+00  1.23685784e-15]
 [ 1.72531260e-14  1.00000000e+00]
 [ 3.18625334e-14  1.00000000e+00]
 [ 2.46059683e-14  1.00000000e+00]
 [ 1.19266576e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.02884281e-14]
 [ 2.02845553e-14  1.00000000e+00]
 [ 1.31093053e-14  1.00000000e+00]
 [ 8.77770079e-15  1.00000000e+00]
 [ 9.64506253e-16  1.00000000e+00]
 [ 1.00000000e+00 -1.72084569e-15]
 [ 1.42555238e-14  1.00000000e+00]
 [ 1.00000000e+00  1.94289029e-16]
 [ 1.35152306e-14  1.00000000e+00]
 [ 2.16719004e-14  1.00000000e+00]
 [ 1.00000000e+00 -5.98826544e-15]
 [ 1.00000000e+00 -5.42794976e-15]
 [ 2.26390087e-14  1.00000000e+00]
 [ 1.24629040e-14  1.00000000e+00]
 [ 2.44010541e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.77288739e-15]
 [ 2.15567581e-14  1.00000000e+00]
 [ 2.66037192e-14  1.00000000e+00]
 [ 2.57211787e-14  1.00000000e+00]
 [ 2.11939841e-14  1.00000000e+00]
 [ 1.00000000e+00  1.62508895e-14]
 [ 1.00000000e+00  7.64145691e-16]
 [ 1.00000000e+00 -7.77156117e-16]
 [ 1.00000000e+00 -1.41614151e-14]
 [ 1.00000000e+00  5.43141920e-15]
 [ 1.00000000e+00 -9.04831765e-15]
 [ 2.64562677e-14  1.00000000e+00]
 [ 1.00000000e+00 -2.86055901e-15]
 [ 1.00000000e+00 -1.73363927e-15]
 [ 1.00000000e+00 -9.23566779e-15]
 [ 9.52710133e-15  1.00000000e+00]
 [ 1.74200931e-14  1.00000000e+00]
 [ 1.97758476e-14  1.00000000e+00]
 [ 2.22838241e-14  1.00000000e+00]
 [ 1.00000000e+00 -8.00054467e-15]
 [ 1.19938781e-14  1.00000000e+00]
 [ 1.96552843e-14  1.00000000e+00]
 [ 1.00000000e+00 -7.65359998e-15]
 [ 1.00000000e+00 -1.53592417e-14]
 [ 1.38266135e-14  1.00000000e+00]
 [ 1.90012936e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.57859836e-16]
 [ 1.24067423e-14  1.00000000e+00]
 [ 1.31746827e-14  1.00000000e+00]
 [ 1.00000000e+00  1.02834408e-14]
 [ 1.99389116e-14  1.00000000e+00]
 [ 1.00000000e+00  3.31679129e-15]
 [ 2.12885265e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.45283091e-14]
 [ 1.25316424e-14  1.00000000e+00]
 [ 1.00000000e+00  1.07769696e-15]
 [ 1.00000000e+00 -8.86096752e-15]
 [ 1.77219350e-14  1.00000000e+00]
 [ 8.93556062e-15  1.00000000e+00]
 [ 2.72967413e-14  1.00000000e+00]
 [ 1.91548166e-14  1.00000000e+00]
 [ 1.00000000e+00 -5.89805982e-16]
 [ 1.95191086e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.63757896e-15]
 [ 2.07819872e-14  1.00000000e+00]
 [ 1.85199078e-14  1.00000000e+00]
 [ 1.00000000e+00 -2.38697950e-15]
 [ 1.15255028e-14  1.00000000e+00]
 [ 1.00000000e+00 -5.44703171e-15]
 [ 2.54483934e-14  1.00000000e+00]
 [ 2.06419083e-14  1.00000000e+00]
 [ 1.90203756e-14  1.00000000e+00]
 [ 8.22952817e-15  1.00000000e+00]
 [ 1.00000000e+00  5.21544613e-15]
 [ 2.25433821e-14  1.00000000e+00]
 [ 1.00000000e+00 -8.96656881e-15]
 [ 1.00000000e+00 -1.87350135e-16]
 [ 1.00000000e+00 -2.35113578e-14]
 [ 1.00000000e+00 -3.17801341e-15]
 [ 1.02036435e-14  1.00000000e+00]
 [ 2.82898704e-14  1.00000000e+00]
 [ 1.05662007e-14  1.00000000e+00]
 [ 1.00000000e+00 -2.75257248e-15]
 [ 4.26048086e-15  1.00000000e+00]
 [ 1.00000000e+00 -2.02320799e-14]
 [ 1.00000000e+00  2.68188249e-15]
 [ 1.00000000e+00  4.16333634e-16]
 [ 1.26062355e-14  1.00000000e+00]
 [ 1.00000000e+00 -9.32587341e-15]
 [ 1.00000000e+00 -1.21846977e-14]
 [ 2.30700875e-14  1.00000000e+00]
 [ 1.30381816e-14  1.00000000e+00]
 [ 1.99543073e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.53072000e-14]
 [ 2.75278932e-14  1.00000000e+00]
 [ 1.27051147e-14  1.00000000e+00]
 [ 1.98920741e-14  1.00000000e+00]
 [ 9.08995101e-15  1.00000000e+00]
 [ 1.51003342e-14  1.00000000e+00]
 [ 9.72572717e-15  1.00000000e+00]
