[[ 1.00000000e+00  4.10782519e-15]
 [ 1.88737914e-15  1.00000000e+00]
 [ 1.00000000e+00  7.77156117e-16]
 [ 2.38697950e-14  1.00000000e+00]
 [ 5.21804822e-15  1.00000000e+00]
 [-4.77395901e-15  1.00000000e+00]
 [ 7.32747196e-15  1.00000000e+00]
 [ 1.73194792e-14  1.00000000e+00]
 [ 8.54871729e-15  1.00000000e+00]
 [ 1.00000000e+00  6.99440506e-15]
 [ 1.00000000e+00  8.88178420e-15]
 [ 1.00000000e+00 -9.32587341e-15]
 [ 1.64313008e-14  1.00000000e+00]
 [ 1.00000000e+00  8.32667268e-15]
 [ 1.00000000e+00  7.88258347e-15]
 [ 1.00000000e+00  1.02140518e-14]
 [ 1.84297022e-14  1.00000000e+00]
 [ 2.44249065e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.77635684e-15]
 [ 1.00000000e+00  1.22124533e-15]
 [ 1.00000000e+00  3.33066907e-15]
 [ 1.94289029e-14  1.00000000e+00]
 [ 1.00000000e+00  3.33066907e-16]
 [ 1.00000000e+00 -7.77156117e-16]
 [ 3.88578059e-15  1.00000000e+00]
 [ 1.00000000e+00  4.88498131e-15]
 [ 1.00000000e+00  1.11022302e-16]
 [ 1.22124533e-14  1.00000000e+00]
 [ 1.00000000e+00  6.55031585e-15]
 [ 1.00000000e+00 -9.99200722e-16]
 [ 9.43689571e-15  1.00000000e+00]
 [ 1.00000000e+00 -3.77475828e-15]
 [ 1.56541446e-14  1.00000000e+00]
 [ 1.00000000e+00  1.22124533e-15]
 [ 1.00000000e+00  7.21644966e-15]
 [ 1.00000000e+00  3.99680289e-15]
 [ 1.00000000e+00 -1.07691633e-14]
 [ 1.38777878e-14  1.00000000e+00]
 [ 1.00000000e+00 -8.10462808e-15]
 [ 1.00000000e+00 -5.55111512e-16]
 [ 1.80966353e-14  1.00000000e+00]
 [ 1.21014310e-14  1.00000000e+00]
 [ 1.28785871e-14  1.00000000e+00]
 [ 2.04281037e-14  1.00000000e+00]
 [ 1.25455202e-14  1.00000000e+00]
 [ 1.15463195e-14  1.00000000e+00]
 [ 1.07691633e-14  1.00000000e+00]
 [ 9.65894031e-15  1.00000000e+00]
 [ 2.55351296e-14  1.00000000e+00]
 [ 1.00000000e+00  4.55191440e-15]
 [ 1.68753900e-14  1.00000000e+00]
 [ 1.00000000e+00  5.77315973e-15]
 [ 1.00000000e+00 -8.77076189e-15]
 [ 1.00000000e+00  2.99760217e-15]
 [ 1.08801856e-14  1.00000000e+00]
 [ 8.43769499e-15  1.00000000e+00]
 [ 1.17683641e-14  1.00000000e+00]
 [ 1.76525461e-14  1.00000000e+00]
 [ 8.21565038e-15  1.00000000e+00]
 [ 1.00000000e+00 -9.21485110e-15]
 [ 1.00000000e+00  6.66133815e-16]
 [ 1.03250741e-14  1.00000000e+00]
 [ 8.32667268e-15  1.00000000e+00]
 [ 1.00000000e+00  7.21644966e-15]
 [ 2.70894418e-14  1.00000000e+00]
 [ 1.49880108e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.22124533e-15]
 [ 1.00000000e+00 -2.55351296e-15]
 [ 2.30926389e-14  1.00000000e+00]
 [ 1.00000000e+00  6.99440506e-15]
 [ 1.00000000e+00  5.32907052e-15]
 [ 2.38697950e-14  1.00000000e+00]
 [ 7.43849426e-15  1.00000000e+00]
 [ 1.17683641e-14  1.00000000e+00]
 [ 9.88098492e-15  1.00000000e+00]
 [ 1.64313008e-14  1.00000000e+00]
 [ 1.14352972e-14  1.00000000e+00]
 [ 1.59872116e-14  1.00000000e+00]
 [ 1.00000000e+00  9.99200722e-15]
 [ 1.00000000e+00  8.88178420e-16]
 [ 9.21485110e-15  1.00000000e+00]
 [ 8.10462808e-15  1.00000000e+00]
 [ 1.46549439e-14  1.00000000e+00]
 [ 1.00000000e+00 -4.66293670e-15]
 [ 1.86517468e-14  1.00000000e+00]
 [ 1.49880108e-14  1.00000000e+00]
 [ 1.25455202e-14  1.00000000e+00]
 [ 1.00000000e+00  8.43769499e-15]
 [ 1.00000000e+00  8.21565038e-15]
 [ 1.00000000e+00  9.10382880e-15]
 [ 1.00000000e+00  6.66133815e-16]
 [ 2.59792188e-14  1.00000000e+00]
