[[ 1.00000000e+00  9.45874490e-11 -1.81898940e-11]
 [ 1.60071068e-10  1.00000000e+00  6.18456397e-11]
 [ 1.89174898e-10  1.24146027e-10  1.00000000e+00]
 [ 1.00000000e+00 -1.81898940e-11  4.36557457e-11]
 [ 1.89174898e-10  1.00000000e+00 -4.03815648e-10]
 [ 1.89174898e-10 -8.18545232e-11  1.00000000e+00]
 [ 1.63709046e-10  1.00000000e+00 -4.91127139e-11]
 [ 2.14640750e-10  1.30057742e-10  1.00000000e+00]
 [ 1.00000000e+00  1.09139364e-11  1.45519152e-11]
 [ 1.85536919e-10  4.43378667e-11  1.00000000e+00]
 [ 1.81898940e-10 -7.32143235e-11  1.00000000e+00]
 [ 2.00088834e-10  1.23691279e-10  1.00000000e+00]
 [ 1.89174898e-10  8.84483597e-11  1.00000000e+00]
 [ 1.00000000e+00  5.41149348e-11 -4.00177669e-11]
 [ 1.00000000e+00  2.04636308e-10 -1.98269845e-10]
 [ 1.00000000e+00  9.82254278e-11 -2.72848411e-11]
 [ 2.14640750e-10  1.00000000e+00 -6.73026079e-11]
 [ 1.00000000e+00 -1.31876732e-10  1.52795110e-10]
 [ 1.70985004e-10  1.00000000e+00 -3.12866177e-10]
 [ 1.00000000e+00 -7.36690708e-11  1.38243195e-10]
 [ 1.00000000e+00  1.51430868e-10 -1.18234311e-10]
 [ 1.89174898e-10  6.54836185e-11  1.00000000e+00]
 [ 1.00000000e+00 -4.82032192e-11  1.14596332e-10]
 [ 2.03726813e-10  1.61890057e-10  1.00000000e+00]
 [ 1.45519152e-10  1.00000000e+00 -1.54614099e-10]
 [ 1.74622983e-10  1.15505827e-10  1.00000000e+00]
 [ 1.00000000e+00 -3.81987775e-11  9.27684596e-11]
 [ 2.03726813e-10  1.19143806e-10  1.00000000e+00]
 [ 2.25554686e-10  1.00000000e+00 -1.32786226e-10]
 [ 1.63709046e-10  1.00000000e+00 -1.63709046e-11]
 [ 2.03726813e-10  1.00000000e+00 -1.32786226e-10]
 [ 2.00088834e-10  1.00000000e+00 -7.63975549e-11]
 [ 1.00000000e+00  8.23092705e-11 -9.09494702e-12]
 [ 1.00000000e+00  1.27329258e-11  0.00000000e+00]
 [ 1.00000000e+00  1.59616320e-10 -6.73026079e-11]
 [ 1.00000000e+00 -2.95585778e-11  1.45519152e-11]
 [ 2.07364792e-10  1.00000000e+00  5.09317033e-11]
 [ 1.00000000e+00  7.54880602e-11 -8.36735126e-11]
 [ 2.25554686e-10  1.77351467e-11  1.00000000e+00]
 [ 1.00000000e+00  1.12777343e-10 -8.36735126e-11]
 [ 1.45519152e-10  9.64064384e-11  1.00000000e+00]
 [ 1.78260962e-10  1.00000000e+00  3.27418093e-11]
 [ 1.00000000e+00  6.27551344e-11 -3.63797881e-12]
 [ 1.96450856e-10  1.00000000e+00  3.63797881e-12]
 [ 1.67347025e-10  1.00000000e+00 -2.18278728e-11]
 [ 1.00000000e+00  1.08684617e-10 -4.91127139e-11]
 [ 2.21916707e-10  1.00000000e+00 -5.63886715e-11]
 [ 2.14640750e-10  1.00000000e+00 -6.18456397e-11]
 [ 1.00000000e+00  2.50111043e-11  4.72937245e-11]
 [ 1.52795110e-10  8.18545232e-11  1.00000000e+00]
 [ 2.11002771e-10  1.00000000e+00 -5.82076609e-11]
 [ 1.78260962e-10  1.00000000e+00 -1.85536919e-10]
 [ 1.00000000e+00  3.59250407e-11 -9.09494702e-12]
 [ 1.85536919e-10  2.28283170e-10  1.00000000e+00]
 [ 1.00000000e+00 -9.09494702e-12  2.54658516e-11]
 [ 1.52795110e-10  4.91127139e-11  1.00000000e+00]
 [ 1.00000000e+00  2.36468622e-11  7.27595761e-12]
 [ 2.03726813e-10  6.63931132e-11  1.00000000e+00]
 [ 1.78260962e-10  1.39834810e-11  1.00000000e+00]
 [ 2.18278728e-10  4.54747351e-13  1.00000000e+00]
 [ 1.78260962e-10  7.18500814e-11  1.00000000e+00]
 [ 2.07364792e-10  6.73026079e-11  1.00000000e+00]
 [ 1.92812877e-10  1.30057742e-10  1.00000000e+00]
 [ 2.11002771e-10  2.77395884e-11  1.00000000e+00]
 [ 1.89174898e-10  1.00000000e+00 -6.73026079e-11]
 [ 1.60071068e-10  1.00000000e+00  3.45607987e-11]
 [ 1.81898940e-10  1.00000000e+00 -7.27595761e-12]
 [ 2.00088834e-10  1.00000000e+00 -8.36735126e-11]
 [ 1.67347025e-10  1.00000000e+00 -6.54836185e-11]
 [ 2.11002771e-10  1.00000000e+00 -1.03682396e-10]
 [ 1.60071068e-10  1.00000000e+00 -9.82254278e-11]
 [ 1.78260962e-10  1.00000000e+00 -3.63797881e-12]
 [ 1.85536919e-10  4.45652404e-11  1.00000000e+00]
 [ 1.00000000e+00  1.63254299e-10 -1.18234311e-10]
 [ 1.89174898e-10  1.30057742e-10  1.00000000e+00]
 [ 1.89174898e-10  1.00000000e+00 -9.09494702e-12]
 [ 1.00000000e+00  6.91215973e-11  1.81898940e-12]
 [ 2.07364792e-10  1.00000000e+00  0.00000000e+00]
 [ 1.56433089e-10  1.00000000e+00  1.63709046e-11]
 [ 1.63709046e-10  1.00000000e+00 -4.00177669e-11]
 [ 1.00000000e+00  7.93534127e-11 -8.00355338e-11]
 [ 1.00000000e+00  6.13908924e-11  2.54658516e-11]
 [ 1.00000000e+00  6.86668500e-11 -3.81987775e-11]
 [ 1.96450856e-10  1.07775122e-10  1.00000000e+00]
 [ 1.67347025e-10  1.00000000e+00  3.63797881e-12]
