[[ 1.00000000e+00 -1.16415322e-10 -1.34605216e-10]
 [ 1.00000000e+00 -1.60071068e-10 -1.10958354e-10]
 [ 2.60115485e-10  1.00000000e+00 -1.18234311e-10]
 [ 1.00000000e+00 -1.30967237e-10 -1.25510269e-10]
 [ 1.00000000e+00 -1.45519152e-10 -1.52795110e-10]
 [ 2.52839527e-10 -1.43700163e-10  1.00000000e+00]
 [ 1.00000000e+00 -1.38243195e-10 -1.05501385e-10]
 [ 1.00000000e+00 -1.45519152e-10 -1.23691279e-10]
 [ 2.49201548e-10 -1.30967237e-10  1.00000000e+00]
 [ 1.00000000e+00 -1.49157131e-10 -1.05501385e-10]
 [ 1.00000000e+00 -1.67347025e-10 -1.20053301e-10]
 [ 2.67391442e-10  1.00000000e+00 -1.56887836e-10]
 [ 1.80079951e-10  1.00000000e+00 -9.45874490e-11]
 [ 1.00000000e+00 -1.56433089e-10 -8.36735126e-11]
 [ 1.00000000e+00 -1.49157131e-10 -1.38243195e-10]
 [ 1.00000000e+00 -1.60071068e-10 -9.27684596e-11]
 [ 1.00000000e+00 -1.41881173e-10 -1.27329258e-10]
 [ 2.40106601e-10  1.00000000e+00 -1.62799552e-10]
 [ 1.00000000e+00 -1.12777343e-10 -1.23691279e-10]
 [ 1.00000000e+00 -1.34605216e-10 -1.00044417e-10]
 [ 2.27373675e-10  1.00000000e+00 -1.36424205e-10]
 [ 3.00133252e-10 -1.61890057e-10  1.00000000e+00]
 [ 1.00000000e+00 -1.16415322e-10 -1.36424205e-10]
 [ 2.63753464e-10  1.00000000e+00 -1.35514711e-10]
 [ 2.25554686e-10  1.00000000e+00 -1.67801772e-10]
 [ 2.18278728e-10 -1.54614099e-10  1.00000000e+00]
 [ 2.56477506e-10  1.00000000e+00 -1.51885615e-10]
 [ 1.00000000e+00 -1.56433089e-10 -1.07320375e-10]
 [ 2.38287612e-10 -1.27329258e-10  1.00000000e+00]
 [ 1.63709046e-10 -1.34605216e-10  1.00000000e+00]
 [ 1.00000000e+00 -1.41881173e-10 -1.05501385e-10]
 [ 1.00000000e+00 -1.60071068e-10 -1.09139364e-10]
 [ 1.00000000e+00 -1.38243195e-10 -1.56433089e-10]
 [ 1.00000000e+00 -1.09139364e-10 -9.45874490e-11]
 [ 2.40106601e-10  1.00000000e+00 -1.56433089e-10]
 [ 2.80124368e-10  1.00000000e+00 -1.81444193e-10]
 [ 1.00000000e+00 -1.30967237e-10 -1.14596332e-10]
 [ 2.69210432e-10  1.00000000e+00 -9.45874490e-11]
 [ 2.76486389e-10  1.00000000e+00 -1.90084393e-10]
 [ 2.36468622e-10 -1.40062184e-10  1.00000000e+00]
