[[-3.89804861e-01 -9.98566004e-01  1.39453344e+00]
 [ 1.00499656e-01  7.71045495e-01 -8.66281989e-01]
 [ 3.53538599e-01 -2.65984456e+00  2.31273325e+00]
 [-4.48733469e-01  1.12126767e+00 -6.67451456e-01]
 [-3.94768787e-01  9.05095590e-01 -5.05200287e-01]
 [ 6.64527790e-01 -2.87362141e+00  2.21310168e+00]
 [ 5.83546388e-01 -2.47395053e+00  1.89486852e+00]
 [ 4.09828555e-01 -4.28682303e+00  3.88313543e+00]
 [ 2.15869786e-01 -1.65142942e+00  1.44099844e+00]
 [-2.51151948e-01 -2.70512118e-02  2.81762628e-01]
 [-6.12371677e-01  2.47138395e+00 -1.85474793e+00]
 [ 1.43763346e-01  1.63284326e-01 -3.01654122e-01]
 [-1.16869603e-01  1.44279615e+00 -1.32149884e+00]
 [-8.69756840e-02  1.38658244e+00 -1.29488064e+00]
 [-4.00643816e-01  2.42763706e+00 -2.02133691e+00]
 [-1.86809472e-01  7.89293766e-01 -5.97454685e-01]
 [ 9.28084538e-02  2.24627209e-01 -3.12602261e-01]
 [ 1.76352988e-01 -1.28470241e+00  1.11375581e+00]
 [-9.51707071e-01  1.79337574e+00 -8.38220355e-01]
 [ 5.07580941e-01 -2.30246119e+00  1.80044645e+00]
 [-5.83712797e-01  2.24918174e+00 -1.66003469e+00]
 [ 1.59776355e+00 -5.72191280e+00  4.12965603e+00]
 [-9.82437377e-02  1.25573372e+00 -1.15345491e+00]
 [ 4.32436986e-01 -1.11108680e+00  6.84103319e-01]
 [ 4.55823018e-01 -3.04023770e+00  2.58950049e+00]
 [ 6.81931931e-01 -4.11790979e+00  3.44152028e+00]
 [-1.53131378e-01 -8.91677420e-01  1.05006856e+00]
 [-2.55153481e-01  2.18982629e+00 -1.93024624e+00]
 [-1.61009798e-01  1.44629484e+00 -1.28017556e+00]
 [-1.16572911e+00  4.12903540e+00 -2.95902990e+00]
 [-1.52712938e-01  3.58144850e-01 -2.01077743e-01]
