      0.00       0.47       1.30
      0.28       0.73       1.50
      0.24       0.80       1.30
      0.04       0.00       1.30
      0.00       0.60       1.30
      0.24       0.80       1.60
      0.28       1.00       1.90
      0.16       0.47       1.40
      0.28       1.00       1.60
      0.08       0.60       1.40
      0.36       0.93       1.50
      0.24       0.67       1.40
      0.48       0.47       4.10
      0.44       0.13       4.00
      0.44       0.20       4.40
      0.68       0.47       4.60
      0.56       0.20       4.00
      0.24       0.00       3.30
      0.48       0.27       4.20
      0.52       0.47       4.20
      0.52       0.40       4.20
      0.72       0.40       4.30
      0.28       0.13       3.00
      0.52       0.33       4.10
      0.64       0.47       4.80
      1.00       0.53       5.40
      0.92       0.53       5.60
      1.00       0.53       5.10
      0.56       0.27       5.10
      0.96       0.60       5.90
      0.92       0.67       5.70
      0.92       0.47       5.20
      0.76       0.13       5.00
      0.84       0.47       5.20
      0.72       0.73       5.40
      0.60       0.47       5.10
