      0.22       0.62       1.40
      0.17       0.42       1.40
      0.11       0.50       1.30
      0.08       0.46       1.50
      0.19       0.67       1.40
      0.31       0.79       1.70
      0.08       0.58       1.40
      0.19       0.58       1.50
      0.03       0.37       1.40
      0.17       0.46       1.50
      0.31       0.71       1.50
      0.14       0.58       1.60
      0.14       0.42       1.40
      0.00       0.42       1.10
      0.42       0.83       1.20
      0.39       1.00       1.50
      0.31       0.79       1.30
      0.22       0.62       1.40
      0.39       0.75       1.70
      0.22       0.75       1.50
      0.31       0.58       1.70
      0.22       0.71       1.50
      0.08       0.67       1.00
      0.22       0.54       1.70
      0.14       0.58       1.90
      0.19       0.42       1.60
      0.19       0.58       1.60
      0.25       0.62       1.50
      0.25       0.58       1.40
      0.11       0.50       1.60
      0.14       0.46       1.60
      0.31       0.58       1.50
      0.25       0.87       1.50
      0.33       0.92       1.40
      0.17       0.46       1.50
      0.19       0.50       1.20
      0.33       0.62       1.30
      0.17       0.46       1.50
      0.75       0.50       4.70
      0.58       0.50       4.50
      0.72       0.46       4.90
      0.33       0.12       4.00
      0.61       0.33       4.60
      0.39       0.33       4.50
      0.56       0.54       4.70
      0.17       0.17       3.30
      0.64       0.37       4.60
      0.25       0.29       3.90
      0.19       0.00       3.50
      0.44       0.42       4.20
      0.47       0.08       4.00
      0.50       0.37       4.70
      0.36       0.37       3.60
      0.67       0.46       4.40
      0.36       0.42       4.50
      0.42       0.29       4.10
      0.53       0.08       4.50
      0.36       0.21       3.90
      0.44       0.50       4.80
      0.50       0.33       4.00
      0.56       0.21       4.90
      0.50       0.33       4.70
      0.58       0.37       4.30
      0.64       0.42       4.40
      0.69       0.33       4.80
      0.67       0.42       5.00
      0.47       0.37       4.50
      0.39       0.25       3.50
      0.33       0.17       3.80
      0.33       0.17       3.70
      0.42       0.29       3.90
      0.47       0.29       5.10
      0.31       0.42       4.50
      0.47       0.58       4.50
      0.67       0.46       4.70
      0.56       0.12       4.40
      0.56       0.54       6.00
      0.42       0.29       5.10
      0.78       0.42       5.90
      0.56       0.37       5.60
      0.61       0.42       5.80
      0.92       0.42       6.60
      0.17       0.21       4.50
      0.83       0.37       6.30
      0.67       0.21       5.80
      0.81       0.67       6.10
      0.61       0.50       5.10
      0.58       0.29       5.30
      0.69       0.42       5.50
      0.39       0.21       5.00
      0.42       0.33       5.10
      0.58       0.50       5.30
      0.61       0.42       5.50
      0.94       0.75       6.70
      0.94       0.25       6.90
      0.47       0.08       5.00
      0.72       0.50       5.70
      0.36       0.33       4.90
      0.94       0.33       6.70
      0.56       0.29       4.90
      0.67       0.54       5.70
      0.81       0.50       6.00
      0.53       0.33       4.80
      0.50       0.42       4.90
      0.58       0.33       5.60
      0.81       0.42       5.80
      0.86       0.33       6.10
      1.00       0.75       6.40
      0.58       0.33       5.60
      0.56       0.33       5.10
      0.50       0.25       5.60
      0.94       0.42       6.10
      0.56       0.58       5.60
      0.58       0.46       5.50
