[[ 1.02016408e+00 -2.01893763e-02]
 [ 6.65325421e-01  3.34676339e-01]
 [ 1.42782563e-01  8.57254214e-01]
 [ 2.78111560e-03  9.97176997e-01]
 [ 7.71786404e-01  2.28217485e-01]
 [ 1.05618232e-01  8.94368931e-01]
 [ 3.69917919e-01  6.30082478e-01]
 [ 4.47152536e-01  5.52859493e-01]
 [ 5.96069128e-01  4.03939907e-01]
 [ 6.82634964e-01  3.17375200e-01]
 [ 6.97721827e-01  3.02247257e-01]
 [ 4.28913879e-01  5.71123696e-01]
 [ 9.28104459e-01  7.18989815e-02]
 [ 2.52043763e-01  7.47956507e-01]
 [ 6.65679591e-01  3.34320911e-01]
 [ 4.86776142e-01  5.13219120e-01]
 [ 4.07343747e-01  5.92651085e-01]
 [ 2.10298600e-01  7.89705493e-01]
 [-2.25251001e-01  1.22513145e+00]
 [ 4.60799958e-01  5.39188807e-01]
 [ 8.13864710e-01  1.86159465e-01]
 [ 8.49124854e-02  9.15124742e-01]
 [ 2.09783652e-02  9.78981745e-01]
 [ 6.46965974e-01  3.53031198e-01]
 [ 1.40329309e-01  8.59723938e-01]
 [ 9.33902745e-01  6.61602520e-02]
 [ 8.69560524e-01  1.30444967e-01]
 [ 6.75520844e-01  3.24505642e-01]
 [ 6.52910222e-01  3.47107857e-01]
 [ 9.23139811e-02  9.07662045e-01]
 [-3.26414476e-01  1.32653222e+00]
 [-8.95051984e-02  1.08953790e+00]
 [ 2.43568690e-01  7.56446509e-01]
 [ 1.01200173e-01  8.98840440e-01]
 [-2.21478571e-01  1.22148186e+00]
 [ 7.25456465e-01  2.74506046e-01]
 [ 5.92883786e-01  4.07165481e-01]
 [ 7.49959892e-01  2.49998893e-01]
 [ 1.59050610e-01  8.40948741e-01]
 [ 8.31953344e-01  1.68063400e-01]
 [-1.69829058e-02  1.01698355e+00]
 [ 4.15242383e-01  5.84774998e-01]
 [ 1.25435542e-01  8.74691753e-01]
 [ 7.04942478e-01  2.95058109e-01]
 [ 5.16179632e-01  4.83833180e-01]
 [-2.94648102e-01  1.29473638e+00]
 [ 7.84669549e-01  2.15356028e-01]
 [ 7.25350215e-01  2.74635848e-01]
 [ 6.43239222e-01  3.56826485e-01]
 [ 9.09880159e-02  9.08979838e-01]
 [ 2.20234773e-01  7.79696769e-01]
 [-2.08787314e-03  1.00204750e+00]
 [ 7.88280754e-01  2.11702315e-01]
 [ 7.15073270e-01  2.84932114e-01]
 [ 6.73220044e-01  3.26726090e-01]
 [ 6.63490443e-01  3.36648094e-01]
 [ 5.08121391e-01  4.91853819e-01]
 [ 2.38150506e-01  7.61795112e-01]
 [ 8.88911699e-01  1.11078469e-01]
 [-1.20825174e-02  1.01207604e+00]
 [ 7.01704947e-01  2.98262378e-01]
 [ 1.13951398e-01  8.86093218e-01]
 [ 6.22203791e-01  3.77850873e-01]
 [ 3.90037575e-01  6.09962396e-01]
 [-2.06597304e-01  1.20661930e+00]
 [ 6.74603880e-01  3.25380827e-01]
 [-8.63724058e-02  1.08640201e+00]
 [ 8.21182667e-01  1.78857260e-01]
 [ 7.81230142e-01  2.18776299e-01]
 [ 6.79482294e-01  3.20484995e-01]
 [ 2.98801698e-02  9.70138001e-01]
 [ 6.73964601e-01  3.26059737e-01]
 [ 5.02722154e-01  4.97228791e-01]
 [ 7.79446419e-01  2.20500995e-01]
 [ 7.21030172e-01  2.78903917e-01]
 [ 3.83184188e-01  6.16783780e-01]
 [ 8.11711449e-01  1.88326973e-01]
 [ 5.81439343e-01  4.18571155e-01]
 [ 5.11335736e-01  4.88641468e-01]
 [-4.69055159e-02  1.04689532e+00]
 [ 2.24975290e-01  7.75035112e-01]
 [ 7.97728226e-01  2.02206159e-01]
 [-2.23866688e-01  1.22388162e+00]
 [ 5.75609340e-01  4.24376542e-01]
 [ 7.83820426e-01  2.16167347e-01]
 [ 4.91350601e-01  5.08550697e-01]
 [ 3.17735275e-01  6.82288484e-01]
 [ 2.13983319e-01  7.86106637e-01]
 [ 3.16004966e-01  6.83960229e-01]
 [ 2.11771493e-01  7.88195914e-01]
 [-3.89758352e-01  1.38954626e+00]
 [ 7.27338695e-01  2.72692834e-01]
 [ 8.11719225e-01  1.88287627e-01]
 [-2.19491627e-02  1.02186840e+00]
 [ 4.80120018e-01  5.19864757e-01]
 [ 4.40839447e-01  5.59129172e-01]
 [ 7.83369421e-01  2.16622850e-01]
