[[-7.10530693e-02  1.07110666e+00]
 [ 6.99016864e-01  3.00954904e-01]
 [ 5.83776912e-01  4.16193638e-01]
 [ 5.82747449e-01  4.17196393e-01]
 [ 6.25649997e-01  3.74339811e-01]
 [-3.47344282e-01  1.34742360e+00]
 [ 4.71945695e-01  5.28066098e-01]
 [ 4.21328389e-01  5.78667780e-01]
 [ 5.81088058e-01  4.18885244e-01]
 [ 7.09375825e-01  2.90633246e-01]
 [ 2.56034086e-01  7.44007660e-01]
 [ 7.57757882e-01  2.42278673e-01]
 [ 6.49697127e-02  9.35043151e-01]
 [ 1.11897712e-01  8.88074714e-01]
 [ 6.41698722e-01  3.58323389e-01]
 [ 6.23522639e-01  3.76478006e-01]
 [ 4.94318115e-01  5.05685463e-01]
 [ 5.51883020e-01  4.48119622e-01]
 [ 3.88553978e-01  6.11370659e-01]
 [ 7.64713563e-01  2.35310506e-01]
 [ 5.12039432e-01  4.87969638e-01]
 [ 5.31886582e-01  4.68096235e-01]
 [ 1.43574056e+00 -4.35796636e-01]
 [ 7.79381116e-01  2.20594376e-01]
 [ 5.07295636e-01  4.92739456e-01]
 [ 1.11623673e-01  8.88305011e-01]
 [ 5.31565182e-01  4.68465921e-01]
 [ 7.37324786e-01  2.62704016e-01]
 [ 4.69890766e-01  5.30143441e-01]
 [-1.12720428e-01  1.11279159e+00]
 [ 7.93267238e-01  2.06736363e-01]
 [ 7.11920558e-01  2.88067740e-01]
 [ 3.48438549e-01  6.51595245e-01]
 [-2.43069806e-01  1.24300127e+00]
 [ 7.23359218e-01  2.76632264e-01]
 [-5.64821127e-02  1.05646989e+00]
 [ 9.47906223e-02  9.05225688e-01]
 [ 8.21665602e-01  1.78339624e-01]
 [ 1.01817828e+00 -1.81633363e-02]
 [ 5.31419335e-01  4.68583384e-01]
 [ 7.60456735e-01  2.39439060e-01]
 [ 7.31443113e-01  2.68579385e-01]
 [ 5.43662292e-01  4.56306166e-01]
 [ 7.99698208e-01  2.00267646e-01]
 [ 5.25330524e-01  4.74600445e-01]
 [ 5.12485772e-01  4.87530688e-01]
 [ 5.21253339e-01  4.78768558e-01]
 [ 5.13634330e-01  4.86362894e-01]
 [ 3.53312735e-02  9.64652366e-01]
 [ 4.87523449e-01  5.12482660e-01]
 [ 9.92634849e-01  7.36821964e-03]
 [ 6.91135126e-01  3.08851278e-01]
 [ 2.61110690e-01  7.38894844e-01]
 [ 3.52192519e-01  6.47785572e-01]
 [ 3.84896092e-01  6.15115088e-01]
 [ 8.03538176e-01  1.96501567e-01]
 [ 1.33087297e+00 -3.30898297e-01]
 [ 9.24813477e-01  7.51773861e-02]
 [ 8.13553197e-01  1.86418645e-01]
 [ 6.44846498e-01  3.55145566e-01]
 [-3.77144973e-03  1.00376763e+00]
 [ 6.64197924e-01  3.35801639e-01]
 [ 5.75214269e-01  4.24794263e-01]
 [ 7.44788653e-01  2.55214595e-01]
 [ 6.50118027e-01  3.49912791e-01]
 [ 7.61537480e-01  2.38433647e-01]
 [ 4.40772645e-01  5.59253276e-01]
 [ 1.55951239e-01  8.44089070e-01]
 [ 9.35884876e-01  6.40648907e-02]
 [ 7.70065394e-01  2.29855361e-01]
 [ 4.87023268e-01  5.12907836e-01]
 [ 2.80905601e-01  7.19100989e-01]
 [-1.78202965e-01  1.17819892e+00]
 [ 1.06439592e+00 -6.43367795e-02]
 [ 2.28973987e-01  7.71035729e-01]
 [-8.42478592e-02  1.08432409e+00]
 [-3.59137000e-02  1.03589812e+00]
 [ 1.00087663e+00 -8.81833658e-04]
 [ 5.00321425e-01  4.99684704e-01]
 [ 4.05293061e-01  5.94664624e-01]
 [ 2.74229831e-01  7.25766849e-01]
 [ 7.40078613e-02  9.26063960e-01]
 [ 6.43154964e-02  9.35690818e-01]
 [ 5.58452078e-01  4.41539386e-01]
 [ 6.48175866e-01  3.51811719e-01]
 [-2.53889708e-01  1.25395923e+00]
 [ 8.68352060e-02  9.13089160e-01]
 [ 7.11594908e-01  2.88401403e-01]
 [ 6.60350491e-01  3.39673326e-01]
 [ 5.76284457e-01  4.23679251e-01]
 [ 5.65892258e-01  4.34122304e-01]
 [ 8.22716318e-01  1.77239497e-01]
 [ 1.88728936e-01  8.11276918e-01]
 [ 7.45182982e-01  2.54821848e-01]
 [ 9.38855762e-01  6.11032149e-02]
 [ 6.88999418e-01  3.10957807e-01]
 [ 3.38349437e-01  6.61652512e-01]
 [ 5.12144268e-01  4.87842135e-01]
 [ 1.98802751e-01  8.01203282e-01]
 [ 1.24258849e-01  8.75721542e-01]
 [ 5.86455954e-01  4.13502700e-01]
 [ 3.64650231e-01  6.35339348e-01]
 [ 1.31555313e-01  8.68434907e-01]
 [ 9.37007833e-01  6.29911628e-02]
 [ 2.57299991e-01  7.42753541e-01]
 [ 6.34412130e-02  9.36594918e-01]
 [ 1.72116377e-01  8.27866790e-01]
 [ 3.27060674e-01  6.72874704e-01]
 [ 2.69633071e-01  7.30391602e-01]
 [ 4.37961926e-01  5.61993840e-01]
 [ 6.42440529e-01  3.57586855e-01]
 [ 7.93850426e-01  2.06181229e-01]
 [ 7.55383318e-01  2.44609879e-01]
 [ 4.14694689e-01  5.85433527e-01]
 [ 7.69266004e-01  2.30729329e-01]
 [ 7.74871285e-01  2.25140407e-01]
 [ 8.54259433e-01  1.45732566e-01]
 [ 6.77635021e-01  3.22343755e-01]
 [ 9.22442813e-01  7.75606821e-02]
 [ 1.24372151e-01  8.75587907e-01]
 [ 2.15605801e-01  7.84402950e-01]
 [ 6.00410436e-02  9.39887567e-01]
 [ 6.80073439e-01  3.19920887e-01]
 [ 5.46948731e-01  4.53039271e-01]
 [ 5.96314419e-01  4.03670672e-01]
 [ 7.04950097e-01  2.95068109e-01]
 [ 9.39525346e-02  9.06014232e-01]
 [ 9.55616823e-01  4.44006601e-02]
 [ 4.38088792e-01  5.61927364e-01]
 [ 6.84928180e-01  3.15068495e-01]
 [ 6.01190585e-01  3.98814640e-01]
 [ 5.25816429e-01  4.74184623e-01]
 [ 4.94666417e-01  5.05352823e-01]
 [-9.45103494e-02  1.09454079e+00]
 [ 5.14985938e-01  4.85007679e-01]
 [-8.73567703e-02  1.08726309e+00]
 [ 7.49856802e-01  2.50166693e-01]
 [ 3.86339070e-01  6.13658340e-01]
 [ 4.66850420e-01  5.33148327e-01]
 [-1.10403984e-01  1.11035656e+00]
 [ 9.45345185e-02  9.05439027e-01]
 [ 9.28695397e-01  7.13356694e-02]
 [ 3.44668355e-01  6.55324217e-01]
 [ 9.28719706e-01  7.12769318e-02]
 [ 7.95891704e-01  2.04118276e-01]
 [ 6.71209379e-01  3.28785223e-01]
 [-6.13825033e-02  1.06145336e+00]
 [ 1.54381363e-01  8.45571298e-01]
 [ 5.52533205e-01  4.47468415e-01]
 [ 6.46793193e-01  3.53147253e-01]
 [ 9.18293767e-01  8.17092551e-02]
 [ 3.37007001e-01  6.62997264e-01]
 [ 8.52170160e-01  1.47799192e-01]
 [ 8.89539321e-01  1.10361164e-01]
 [ 1.06617267e-01  8.93466939e-01]
 [ 8.13436759e-01  1.86505976e-01]
 [ 6.58689227e-01  3.41322974e-01]
 [ 4.23254584e-02  9.57702342e-01]
 [ 2.31322794e-01  7.68694319e-01]
 [ 8.08605502e-01  1.91388730e-01]
 [ 6.89943342e-01  3.10042543e-01]
 [ 5.46127710e-01  4.53867985e-01]
 [ 7.36187603e-01  2.63799650e-01]
 [ 1.65660038e-01  8.34460290e-01]
 [ 5.09436894e-01  4.90538967e-01]
 [ 4.92425880e-01  5.07572125e-01]
 [ 8.09621903e-01  1.90375355e-01]
 [ 1.67594564e-01  8.32382794e-01]
 [ 5.71640060e-01  4.28363122e-01]
 [ 1.54243210e-02  9.84558343e-01]
 [ 5.85766909e-01  4.14263709e-01]
 [ 2.71400727e-01  7.28624034e-01]
 [ 9.25647308e-01  7.43806150e-02]
 [ 8.71750360e-01  1.28255503e-01]
 [-2.55439409e-01  1.25546852e+00]
 [ 3.55480470e-01  6.44522461e-01]
 [ 5.53348724e-01  4.46649055e-01]
 [ 6.78466230e-01  3.21540586e-01]
 [ 7.09259424e-01  2.90802185e-01]
 [ 8.81149070e-01  1.18796108e-01]
 [-1.18576316e-02  1.01187749e+00]
 [ 9.13562988e-01  8.64408957e-02]
 [ 8.44894333e-03  9.91564631e-01]
 [ 9.31783972e-01  6.82163882e-02]
 [ 4.28945278e-01  5.71050170e-01]
 [ 1.32173322e-01  8.67841425e-01]
 [-1.15826589e-02  1.01151159e+00]
 [ 9.17030595e-01  8.29786690e-02]
 [ 6.56040961e-01  3.43961150e-01]
 [ 7.60115755e-01  2.39918760e-01]
 [ 5.99490583e-01  4.00487654e-01]
 [ 7.87145309e-01  2.12810188e-01]
 [-5.94409252e-03  1.00593895e+00]
 [ 4.61004427e-01  5.38981113e-01]
 [ 2.28784621e-01  7.71108403e-01]
 [ 7.32682120e-01  2.67353793e-01]
 [-3.39378684e-01  1.33939221e+00]
 [ 5.96707755e-02  9.40205893e-01]
 [ 6.27881714e-01  3.72161979e-01]
 [ 1.89388655e-01  8.10587387e-01]
 [ 4.85711837e-01  5.14264317e-01]
 [ 7.14075596e-01  2.85934131e-01]
 [ 9.37667400e-01  6.23314851e-02]
 [-2.39303612e-01  1.23924860e+00]
 [ 9.58619609e-01  4.14280880e-02]
 [ 6.93241999e-01  3.06707387e-01]
 [ 5.07063669e-01  4.92936465e-01]
 [-5.92488657e-02  1.05910521e+00]
 [ 2.32272168e-01  7.67761617e-01]
 [ 6.81551772e-01  3.18500611e-01]
 [ 6.42973897e-01  3.57009106e-01]
 [ 6.11567924e-01  3.88423677e-01]
 [ 4.41191311e-01  5.58844385e-01]
 [ 5.00858687e-01  4.99160954e-01]
 [ 2.55740285e-01  7.44224627e-01]
 [ 5.12418251e-01  4.87563430e-01]
 [ 9.18066974e-01  8.19093491e-02]
 [ 7.04733062e-01  2.95278036e-01]
 [ 6.36049954e-01  3.64006004e-01]
 [ 7.24170607e-01  2.75821245e-01]
 [ 1.02178367e+00 -2.17822650e-02]
 [-9.07333848e-02  1.09077483e+00]
 [ 6.59574461e-01  3.40398767e-01]
 [ 8.04616488e-01  1.95365777e-01]
 [ 6.30710893e-01  3.69252464e-01]
 [ 2.04533210e-01  7.95475335e-01]
 [-2.06791809e-01  1.20669948e+00]
