[[ 8.73520697e-01  1.26529817e-01]
 [ 4.42414200e-02  9.55831135e-01]
 [-1.05022505e-01  1.10511067e+00]
 [ 9.20624281e-01  7.91435859e-02]
 [ 2.11713795e-01  7.88124344e-01]
 [ 8.58825802e-02  9.14028570e-01]
 [ 8.59594120e-01  1.40466640e-01]
 [ 1.28293556e+00 -2.82925412e-01]
 [ 7.83569350e-01  2.16865077e-01]
 [ 1.03907123e+00 -3.92015181e-02]
 [ 1.89906450e-01  8.09893158e-01]
 [ 2.33866653e-01  7.66083767e-01]
 [ 1.14797607e+00 -1.48056766e-01]
 [ 7.67784265e-02  9.23148640e-01]
 [ 2.16574715e-02  9.78294629e-01]
 [ 1.88001961e-01  8.11921808e-01]
 [ 6.51266011e-01  3.48418878e-01]
 [ 7.58049344e-01  2.41744967e-01]
 [ 3.95639462e-01  6.04696897e-01]
 [ 8.40341240e-01  1.59559395e-01]
 [ 1.03520030e+00 -3.53843926e-02]
 [ 4.99834630e-01  5.00156137e-01]
 [ 1.00478282e+00 -4.67458874e-03]
 [ 3.45002356e-02  9.65349044e-01]
 [ 3.74216315e-01  6.25954568e-01]
 [ 1.06916756e+00 -6.91678631e-02]
 [ 9.20685367e-01  7.93457762e-02]
 [ 1.83412760e-03  9.98542175e-01]
 [ 1.70897414e-01  8.28970549e-01]
 [-5.66913787e-02  1.05671276e+00]
 [ 1.59167044e-01  8.40784380e-01]
 [ 1.13758474e+00 -1.37569452e-01]
 [ 5.46735943e-01  4.53306461e-01]
 [ 3.55593402e-02  9.64590371e-01]
 [-1.95363558e-01  1.19523855e+00]
 [ 8.62971747e-02  9.13825986e-01]
 [ 8.74531569e-01  1.24996803e-01]
 [ 9.27596123e-02  9.07289391e-01]
 [ 7.98154997e-01  2.01834440e-01]
 [ 1.16131940e+00 -1.61810417e-01]
 [ 7.01512198e-01  2.99067893e-01]
 [-3.84795527e-02  1.03842298e+00]
 [ 8.46048329e-01  1.53982593e-01]
 [ 2.79995466e-01  7.19985103e-01]
 [ 2.44310167e-01  7.55597772e-01]
 [ 5.10336383e-01  4.89626664e-01]
 [ 8.74915922e-01  1.25226843e-01]
 [ 9.61837934e-01  3.81013056e-02]
 [ 9.49859830e-01  5.00994507e-02]
 [ 7.79763911e-01  2.20240679e-01]
 [ 1.12372400e-01  8.87332229e-01]
 [ 5.09049119e-03  9.94885412e-01]
 [ 8.81784316e-01  1.18219746e-01]
 [ 1.12648538e+00 -1.27173031e-01]
 [-4.58541150e-02  1.04597461e+00]
 [ 1.01985417e+00 -2.00793606e-02]
 [ 1.13940013e+00 -1.39424477e-01]
 [ 1.08577042e+00 -8.56612244e-02]
 [ 7.32639699e-01  2.67275071e-01]
 [ 1.62661548e-01  8.37332272e-01]
 [ 8.21103625e-01  1.78736316e-01]
 [ 1.06606387e+00 -6.62657758e-02]
 [ 2.86309623e-02  9.71611149e-01]
 [ 1.12207820e+00 -1.22255123e-01]
 [ 1.71511478e-01  8.28359713e-01]
 [ 1.01851730e+00 -1.84413334e-02]
 [ 9.97497908e-01  2.69866509e-03]
 [ 8.83951139e-01  1.15802900e-01]
 [ 8.64717772e-01  1.34945745e-01]
 [ 1.24926068e-01  8.74959925e-01]
 [ 1.03914885e+00 -3.94220744e-02]
 [-5.76075598e-02  1.05762856e+00]
 [ 1.04207602e+00 -4.21468106e-02]
 [-6.45384926e-02  1.06448673e+00]
