[[ 6.87809934e-01]
 [ 7.20839922e-01]
 [ 8.21917494e-01]
 [ 6.05492717e-01]
 [ 6.05492717e-01]
 [ 3.65333444e-01]
 [ 5.22251552e-01]
 [ 3.77681206e-01]
 [ 7.02962175e-01]
 [ 6.19016034e-01]
 [ 8.47199663e-01]
 [ 5.54638366e-01]
 [ 7.09010316e-01]
 [ 6.07783478e-01]
 [ 6.38389005e-01]
 [ 5.13596985e-01]
 [ 5.24970661e-01]
 [ 6.88967246e-01]
 [ 6.64028495e-01]
 [ 1.05658725e+00]
 [ 7.29570606e-02]
 [ 8.15258852e-01]
 [ 7.60536822e-01]
 [ 6.25374362e-01]
 [ 4.46695592e-01]
 [ 8.15195282e-01]
 [ 4.46695592e-01]
 [ 8.33969222e-01]
 [ 3.78234225e-01]
 [ 4.25414464e-01]
 [ 7.95886151e-01]
 [ 7.17504824e-01]
 [ 5.85348135e-01]
 [ 3.18070906e-01]
 [ 3.92038130e-01]
 [ 4.00052943e-01]
 [ 7.52166298e-01]
 [ 6.40073290e-01]
 [ 6.10854996e-01]
 [ 6.72227332e-01]
 [ 8.21165432e-01]
 [ 7.04284974e-01]
 [ 7.11647570e-01]
 [ 6.47610175e-01]
 [ 5.81746663e-01]
 [ 7.34049310e-01]
 [ 8.25525074e-01]
 [ 8.69329055e-01]
 [ 8.45821243e-01]
 [ 7.28691955e-01]
 [ 5.05261977e-01]
 [ 1.39470273e+00]
 [ 6.18363765e-01]
 [ 5.98010944e-01]
 [ 1.40198332e+00]
 [ 5.94228979e-01]
 [ 5.64049341e-01]
 [ 4.85579831e-01]
 [ 6.64254015e-01]
 [ 6.71039600e-01]
 [ 6.50924005e-01]
 [ 7.98282114e-01]
 [ 4.35131275e-01]
 [ 7.14974611e-01]
 [ 6.70836317e-01]
 [ 8.59221746e-01]
 [ 4.53808349e-01]
 [ 7.10778651e-01]
 [ 8.07529705e-01]
 [ 8.15361914e-01]
 [ 6.31195551e-01]
 [ 6.52131317e-01]
 [ 6.87156390e-01]
 [ 8.90610560e-01]
 [ 6.39733408e-01]
 [ 9.46145540e-01]
 [ 6.64758424e-01]
 [ 7.63185024e-01]
 [ 7.61524443e-01]
 [ 4.78935735e-01]
 [ 8.20566428e-01]
 [ 6.00093180e-01]
 [ 7.40024971e-01]
 [ 1.04278878e+00]
 [ 4.79668440e-01]
 [ 3.72349911e-01]
 [ 7.08789664e-01]
 [ 8.98996512e-01]
 [ 6.29349663e-01]
 [-3.75546849e-02]
 [ 6.46084217e-01]
