[[ 9.55566406e-01  4.11376953e-02]
 [ 2.06420898e-01  7.92724609e-01]
 [ 9.75952148e-01  1.97753906e-02]
 [ 1.12939453e+00 -1.30981445e-01]
 [ 3.84521484e-02  9.57031250e-01]
 [ 8.83911133e-01  1.13891602e-01]
 [ 7.93334961e-01  2.04223633e-01]
 [ 9.20043945e-01  7.67822266e-02]
 [ 3.54980469e-01  6.43554688e-01]
 [ 9.09057617e-01  8.71582031e-02]
 [ 1.10058594e+00 -1.05224609e-01]
 [-7.44628906e-03  1.00683594e+00]
 [ 8.50341797e-01  1.45751953e-01]
 [ 1.28808594e+00 -2.90527344e-01]
 [ 4.36035156e-01  5.61767578e-01]
 [ 4.62646484e-02  9.51049805e-01]
 [ 9.81933594e-01  1.56250000e-02]
 [-1.56982422e-01  1.15454102e+00]
 [-1.51000977e-01  1.14660645e+00]
 [ 8.96118164e-01  1.02416992e-01]
 [ 4.35546875e-01  5.60913086e-01]
 [ 5.38330078e-02  9.42749023e-01]
 [ 1.09191895e+00 -9.25292969e-02]
 [ 1.01110840e+00 -1.14746094e-02]
 [ 7.62207031e-01  2.34375000e-01]
 [ 9.50683594e-01  4.63867188e-02]
 [ 1.02770996e+00 -3.06396484e-02]
 [ 1.00000000e+00 -2.92968750e-03]
 [ 9.17602539e-01  7.71484375e-02]
 [ 8.36425781e-01  1.62963867e-01]
 [ 8.51684570e-01  1.45263672e-01]
 [ 9.49340820e-01  4.76074219e-02]
 [ 1.03381348e+00 -3.57666016e-02]
 [ 1.09350586e+00 -9.61914062e-02]
 [ 1.42211914e-01  8.56689453e-01]
 [ 7.36450195e-01  2.61718750e-01]
 [ 2.46582031e-02  9.74731445e-01]
 [ 7.23266602e-01  2.73925781e-01]
 [ 9.64965820e-01  3.13720703e-02]
 [ 1.06091309e+00 -6.34765625e-02]
 [ 5.35888672e-02  9.43847656e-01]
 [ 1.05749512e+00 -6.11572266e-02]
 [ 9.92553711e-01  6.34765625e-03]
 [ 8.80493164e-01  1.17553711e-01]
 [-1.69189453e-01  1.16601562e+00]
 [ 9.27856445e-01  6.95800781e-02]
 [ 9.29809570e-01  6.95800781e-02]
 [ 2.09594727e-01  7.88085938e-01]
 [ 1.05017090e+00 -5.48095703e-02]
 [ 3.26782227e-01  6.70166016e-01]
 [ 8.75488281e-01  1.22070312e-01]
 [-3.15673828e-01  1.31323242e+00]
 [ 3.78662109e-01  6.18164062e-01]
 [ 3.62548828e-02  9.61059570e-01]
 [-9.76562500e-04  1.00061035e+00]
 [ 1.14648438e+00 -1.50146484e-01]
 [-1.09130859e-01  1.10595703e+00]
 [ 9.30541992e-01  6.72607422e-02]
 [-1.19506836e-01  1.11572266e+00]
 [ 8.28857422e-01  1.68457031e-01]
